Smell_Source	Smell_Word	Quality	Sentence	Year	Book
Candles	snuffing		He recovered of this Wound , and retired after the unfortunate King to Paris , where he was reduced to support a Wife , and seven Children , ( for his Lot had Horns in it ) by cleaning Shoes , and snuffing Candles at the Opera .	1743	bl678
Candles	snuffing		He recovered of this Wound , and retired after the unfortunate King to Paris , where he was reduced to support a Wife , and seven Children , ( for his Lot had Horns in it ) by cleaning Shoes , and snuffing Candles at the Opera .	1743	bl61045
of a tallow candle	whiff		whiff of a tallow candle , Madam , ( grinning ) Ecod we ' ve made a fine blaze here , and now , as the faying is , I ' ll e ' en run away by the light [ Aftde , and exit in hajle Airs .	1799	bl61084
of a candle	snuff|snuff		the snuff of a candle he prepared ink ; his pen chap .	1807	bl274
of spice Soap|vulgar soap|greasy candle	stink		Her hands for sugars were too nice ; She fainted at stink of spice Soap — vulgar soap , or greasy candle , She rather could have died than handle : Nay spouse himself , when girt with apron , She scarcely could endure to gape on : For tho the Man was passing well , The Tradesman made her stomach swell .	1802	bl2159
flame of a rosin candle	stinking|stinking	stinking|stinking	In the yard ; barns , stables , pigsties , cow - lodges , cart and waggon ssieds 247 This is done by the lugubrious liofit of a lamp , or the stinking flame of a rosin candle .	1802	bl2232
candles	snuffing		He recovered of this wround , and retired after the unfortunate king to Paris , where he was reduced to support a wife , and seven children ( for his lot had horns in it , ) by cleaning shoes , and snuffing candles at the opera .	1806	bl2238
glauca|beaver tree|American olive|gordonia lasianthus|blossoms|the candleberry|numerous|of azaleas|kalmias|kalmias|andromedas|rhododendrons	fragrant|fragrant	fragrant|fragrant	glauca , or beaver tree , American olive , and gordonia lasianthus , silvered over with fragrant blossoms : these are generally either single , or grouped together into small open groves , while the larger part of the meadow is overgrown with long succulent herbage , intermixed with ssirubs and plants ; the candleberry myrtle , with numerous species of azaleas , kalmias , kalmias , andromedas , and rhododendrons , arranged by the hand of nature into thickets and ssirubberies , entwined and over - arched by the crimson granadilla , or the fantastic clitoria , here display their inimitable beautiea in full luxuriance .	1802	bl2331
his candles	stunk		thrice great Hermes he has out Avatched the Often have his candles been burned to the snuff , and glimmered and stunk in the sockets , whilst he grew pale at his constitutional constitutional studies ; long sleepless nights has he Wasted ; long , laborious , soiftlefsjournies has he made , and great sums has he expended , in order to secure the purity , the independence , and the sobriety of elections , and to give a check , if possible , to the ruinous charges that go nearly to the destruction of the right of election itself .	1808	bl2355
the smoke of a tallow candle	smell		For the smoke of a tallow candle ceases to smell , when it begins to ssiine , / .	1801	bl21027
box|candles	stinking|stinking	stinking|stinking	Sauce - box ; and as to stinking candles I would have you to know we have no such things in the house .	1805	bl21074
Spermaceti candles|powders|pastes	scents	Sweet	Ditto Ditto vents per gallon ] cents per pound [ percent ad val m ibi 36fV lu - e I 6f ■ 16s all other manufactures of steel Sheathing and cartridge paper Sherry wine Sea stores of ships or vessels Spermaceti candles Sweet scents ee powders , pastes , & amp ; c .	1800	bl21083
