Smell_Source	Smell_Word	Quality	Sentence	year	Book
they|Gloves	scent	of the richest	Away , thotsrt a Fool , and knowst not what ( Thou hast refus ' d : they are , I tell thee , Gloves of the richest scent ; besides , each Finger ' s Lin ' d with Gold ; here , wear ' em for my fake .	1697	bl1365
ThoseGloves	scent|smell	rich|sweet|strong|deadly	ThoseGloves , How rich foe er and sweet their scent may seem , Yet once well heated on the Hand , will cast a strong And deadly smell , molt fatal to the Brain , a Poyson Not only certain , but strangely sudden in its operation , As I was told , at least , by an Italian famous in that helUssi Art , from whom I had ' em .	1697	bl1365
Ribbonds|Ribbonds|Gloves|White - wafhes	Perfumes		No faith , I have not fold Perfumes , Ribbonds , Ribbonds , Gloves , White - wafhes , and other forts fo long , but I know how to make my felf agreeable as well as any of my Cuftomers : Nor have I follow ' d Tunbridge and Epfom , and iometimes Ijlington Wells fo long , but that I know how to gain more hearts , as well as fecure a perfect inclination , even I believe to the loathing of any other perfon .	1689	bl1528
Gloves	Perfume		Lawn , as white as driven / now j Cyprus , black as e ' er was trim ; Gloves , as fweet as damafk rofes ; JMafls for faces , and for nofes ; Bugle bracelet , neck - lace amber ; Perfume for a lady ' s cfyamber : Golden quoifs , and flomacher s , For my lads to give their dears \ Pins , and poking - flicks offieel * , What maids lack from bead to heel r Come , buy of me , come : come buy ; Buy , lads , or elfe your laffes ay : Come buy , & amp ; c .	1785	bl6413
These gloves|they	perfume	excellent	These gloves the count sent me , they are an excellent perfume .	1785	bl6446
Lawn|Cyprus|Gloves|Bugle - bracelets|andstomachers	Perfume	sweet	Lawn , as white as driven snow ; Cyprus , black as e ' er was crow ; Gloves , as sweet as damask roses ; Masks for faces , and for noses ; Bugle - bracelets , neck - lace amber ; Perfume for a lady ' s chamber : Golden quoifs , andstomachers , For my lads to give their dears : thing besides laces which are braided , and are the principal commodity commodity sold by ballad - singing pedlars .	1773	bl6623
leather|gloves	perfume|perfumed|perfumed|perfumed|perfumed	perfumed|perfumed|perfumed|perfumed	Stowe ' s Com inn a ' ar , Edmund Howes , informs us , that the English English could not make any costly wash or perfume , until about the fourteenth or nstecnth of the qucene [ Elizabeth ] , the right honourable Edward Vere earle of Oxford came from Italy , and brought with him gloves , sweet bagges , a perfumed leather jer kin , and other pleasant thinges : and that yeare the queene had a payrc of perfumed gloves trimmed onlie with foure tuftes , or roses , of cuilered silke .	1773	bl6623
gloves	fweet|fweet|perfumed|perfumed	fweet|fweet|ur perfumed|perfumed	We find it in Spenfer ' s Paftorals , Paftorals , Aprill : And gird in your wafte , For more finenetfe , with a tawdrie As to the other prefent , promifed by the Clown to Mopfa , of fweet , ur perfumed gloves , they are frequently mentioned by Shakefpeare , Shakefpeare , and were very t .	1778	bl62017
Gloves|lilh	fweet|fweet|perfume	fweet|fweet|coftly wafhor	ige , offers to fale : Gloves as fweet as damaft Stowe ' s Contlmtator , Edmund Howes , intonns ' us , that the Euj ; lilh Euj ; lilh could not make any coftly wafhor perfume , until about the fourteenth or .	1778	bl62017
Lawn|Cyprus|Gloves	Perfume		Lawn , as white as driven fnow ; Cyprus , black as e ' er was crow ; Gloves , as fweet as damafk rofes ; Mafks for faces , and for nofes ; Bugle bracelet , neck - lace amber ; Perfume for a lady ' s chamber ; Golden quoifs , andftomachers , Far my lads to give their dears ; Pins , and poking - fticks of ft eel 6 , What maids lack from head to heel : Come I fhould have taken the fquare for a gorget or ftomacher , but for this paffage in Shakefpeare .	1778	bl62017
Gloves|Bugle bracelets|necklace	fweet|fweet|Perfume	fweet|fweet	Gloves , as fweet as damask rofes , Masks , for faces , and for nofes ; Bugle bracelets , necklace amber , Perfume , for a lady ' s chamber ; Golden coifs , and ftomachers , For my lads to give their dears : Pins , and poaking - fticks ojfteel , What maids lack jrom head to heal : Come buy of me , come - , come buy , come buy , Buy lads , or elfe your laffes cry .	1758	bl61332
Gloves|Bugle|neck	Perfume		Latvn , as white as driven fnoiv ; Cypius , blachan e ' er zoas crozv ; Gloves , as pweet as damajk ro / rs ; flails for fates , and for noses ; Bugle bnicckt , neck - lane amber \ Perfume for a lady ' s cl mbcr \ ' Golden quoifs , and jiomachers , For my lads to give their dean ; Pins , and paking - siicks of fleet 7 , } J bat maids lack from head i & gt ; ; Come , bus of me , com : ; e _ me / ' r / r , come ' • ; Bin ' , lads , or elf yottr ■ & lt ; fj : ~ ci j ; Come b iy , & amp ; c .	1784	bl61792
of gloves	smells|perfuming		e woods and heaths are of vast spaces ; besides , we see that smells do adhere , to hard bodies ; as in perfuming of gloves , etc .	1803	bl2514
