Smell_Source	Smell_Word	Quality	Sentence	Year	Book
on the humid Flowers|Their morning incense	breath|Smell|Scents	grarefull	Now when as sacred Light began to dawn In Eden on the humid Flowers , that breath ' d Their morning incense , when all things that breathe , From th ' Earth ' s great Altar fend up silent praise To the Creatour , and his Nostrils fill With grarefull Smell , forth came the humane pair And joyn ' d their vocal Worship to the Choir Of Creatures wanting voice ; that done , partake The Season , prime for sweetest Scents and Airs : Then commune how that day they best may ply Book VI .	1695	bl1172
Incense	breath|Fragrancy|perfuming|unfum ' d	precious	That breath ' d their Morning Inceific ; That breath ' d forth their precious Fragrancy to wards Heaven , perfuming the ambient Air , their Native unfum ' d Incense .	1695	bl1172
Incense|Incendere|Gums	odoriferous|odoriferous	odoriferous|odoriferous	Incense , of Incendere , Lat , to burn , dry and odoriferous Gums in socrificing burnr .	1695	bl1172
grains|Incense	smell		But God ill grains did in this Incense smell , Wrapt in fair Leaves he saw the Canker dwell .	1681	bl1188
Frankincense|of this profane Fellow	smell		Joculo , burn Frankincense to drive away the smell of this profane Fellow .	1663	bl1478
Incense|Cloud	fragrant|fragrant	fragrant|fragrant	Sabean Incense in a fragrant Cloud IlluftrSoufly suspended ore thy Crowne Like a Kings Canopy , makes thee allowd For more than man , But let them take thee downe , And thy tru * * value be once understood , Thy dull Idolaters will finde th ' art wood .	1648	bl1562
incense	odors		When that inexorable Monfter Death That foliowes Fortune , flies the poorc diflrefitd , Tortures 4 * * THE TRAGEDY With odors , incense , garIands in her hand , When I approacht ( as onefrom Casar sent , ) And did her close thy message c * vnderstand .	1623	bl1594
Incense	smell		• These were the just and faultless causes why The general voice did for a Monarch cry , But God illgrains did in this Incense smell , Wrapt in fair Leaves he saw the Cankgr dwell .	1668	bl1620
gore|of incense	reeking|reeking|breath	hot reeking|reeking	If then thou art that cruel god , whose eyes Delight in Blood , and Humane Sacrifice , T hy dreadful Altars I with Slaves will store , And feed thy nostrils with hot reeking gore ; Or if that mild and gentle god thou be , Who dost mankind below with pity see , With breath of incense we will glad thy heart , But if like us , of mortal seed thou art , Presents of choicest Fowls , and Fruits I ' lebring , And in my Realms thou ( halt be more then King .	1667	bl1680
incense	Exhaling		A num ' rous Again , from ev ' ry latent root , The bladed stem and tendril ( hoot , Exhaling incense to the ( kies , Again to perish , and to rife .	1781	bl616
blooming flowers|incense	Fragrant|Fragrant	Fragrant|Fragrant	44 Fragrant blooming flowers arise , Breathing incense to the skies ; Soft as evening zephyrs blow The ambling easy numbers flow , And by this proof convinced , I see , O .	1775	bl665
rous|Sweet calamus|frankincense|Sharon|myrrh	fragrance|perfumes|aromatic|aromatic	rful|soft|aromatic|aromatic	T ' embalm his sire he issues his command , And sons of art attend with skilful hand ; From Gilead ' s mount they rich ambrosia bear , And pow ' rful fragrance floats on wTings of air ; From od ' rous unguents soft perfumes arise , On tepid breezes wafted to the skies ; Sweet calamus and frankincense disclose Unfolding blooms , and rival Sharon ' s rose ; The sons of Midian from Arabia ' s ssiore The aromatic myrrh and cassia bore .	1795	bl6110
fmoaking incense|incense	fragrant|fragrant	fragrant|fragrant	While fragrant wreaths of fmoaking incense roll , Receive our prayers , the incense of the soul ! Mag .	1745	bl6139
thy|incense	fragrance		With such delight , o ' er all my heart I feel , Sweet Hope ! thy fragrance pure and healing incense steal .	1796	bl6209
the incense of human sacrifices	snuff		A precious legacy this to bequeath a people whom we had forced into a war they did not wish for ; and whom we were incapable of defending ! Magazines of hay having been so destroyed , do you suppose suppose that magazines of corn and beef have not been destroyed in the fame way ? O feeble sense of reason and of virtue ! — O neglected spirit of justice and humanity ! That any being who has capacity enough to count his fingers , or who can put down as many units upon a paper as will make ten , should ever think of plunging continents into war for the gratification of their ambition , when the consequences must be destroying , thus , by wholesale , the means of the existence of so many thousands of their fellow beings , who have the fame right to the accommodations of life with themselves ; but who , together together with their families , are to be reduced to misery and the lingering death of famine , while mad revenge , the avarice of office , and the intoxicating love of power , stalk with inflated inflated insolence over the globe , affect the nod of deity , and snuff the incense of human sacrifices ! Citizens , the evening is far advanced .	1795	bl6216
the primrose|Her|incense|the wall - flower	odour|fragrance	simple	2 20 25 3 ° 35 40 On Or , if not these , the Fairy revels oft The nightly wanderer saw , and saw amazed ; Yet what compare ! not forms of horror they , But sprites of pleasant deed and revelry ; Nor were their merry pastimes e ' er revealed By hideous glare ; their frolics , at their wish , By mild illumination were disclosed , If dewy eve concealed her beamy orb ; Or , did its rays in softest streams descend , And the Hyades moist , and studded shield Of armed Orion , dim ; fast by some copse , Which nodding met each zephyr with a sigh , Was the light - footed dance , on dailies , held , While o ' er the spot the primrose , milky hued , Her simple odour , and the cowslip pale , Her richer incense , shed ; the wall - flower too Threw forth her fragrance from her native rock , And waved her yellow gems ; tire bubbling spring Poured gurgling from the crag , and murmuring fed The pebbled pool below , whose liquid face , The yielding willow , without ceasing , kissed , And wrinkled still with tears ; while on the ear Fearfully pleased , the touch of minstrelsy , Not human , fell j and all around were borne , St .	1797	bl6271
your incense|herbs|fruits|flowers	breath perfumes		55 Soft - roll your incense , herbs , and fruits , and flowers , - * _ ■ _ m _ — - In mingled clouds to Him ; whose fun exalts , Whose breath perfumes you , and whose pencil paints .	1792	bl6447
Nature|Incense	perfumes	congenial	HARK ! — to yon heavenly s , kies , Nature ' s congenial perfumes upwards rife ! From each throng ' d stye That saw my gladsome eye , Incense , quite Ymoking hot , arose , And caught my seven sweet senses — by the nose ! AIR — accompanied by the Learned Pig .	1795	bl6468
Ambrosial sweets|incense	perfume		What if affliction be the scene beneath , Diseases numerous depress my soul ; 4 7 The foliage expands , to shew his praise ; Ambrosial sweets commix ' d perfume the air , Th ' ascending incense from earth ' s altar rais ' d .	1765	bl6507
incense of	fragrance smells		This is that incense of the heart Whose fragrance smells to heav ' n .	1781	bl6509
