Smell_Source	Smell_Word	Quality	Sentence	year	Book
Orpheus Ogden|ozone	odoriferous|odoriferous	odoriferous|odoriferous	Orpheus Ogden , of Orkney , CEAN , oh , One omnipresent our own ! O ' er oozy outlets oft - time overflowing , Outbreathing odoriferous ozone .	1879	bl94673
OZONE|ozein	odor		OZONE ( from ozein , to yield an odor ) , a name given in 1840 by M .	1878	bl94739
of the pines|the ozone|the iodine from the seaweed	fragrance		He trusted that the fragrance of the pines , the ozone from the air , and the iodine from the seaweed , would give his bride strength to throw off this disease ; in short , he hoped , and for a time she seemed to mend , but that was during the first winter ; it was but a flicker of the flame of life — the enemy was staved off , but not defeated ; he still hoped , but she bad ceased to hope , that they two would be long together .	1877	bl94955
the ozone	sniffing		When we debouched upon the sandy beach , our horses , sniffing the ozone , started at a full gallop , and Ave could hardly hold them in .	1878	bl95042
of ozone	whiff		' You ' ll just have to shut up your feelings when you get inside , and go about as if you ' d been here early this morning , and only gone to get a whiff of ozone , which is what you won ' t get inside this house .	1887	bl58995
' Ozone '	smell		Some persons with keen noses even go so far as to assert that they can smell ' Ozone ' in the at Burgess Hill .	1884	bl54593
Slocum|ozone|of stale shrimps and seaweed	odour		Oh , not at all ! enough to say — opinion I ' ll not vary — That Slocum - super - Mare is — well , Slocum - super - Mare ! No doubt ' tis pleasant to be far from the great City ' s rumble , To watch the snow - white sails of ships , and see the billows tumble ; No doubt there ' s health upon the breeze and ozone in the air — At least of odour of stale shrimps and seaweed I ' m aware ! But why , oh why , of all the spots this sweet old isle sup - plies Did Slocum - super - Mare win such favour in my eyes , When in my lonely chambers , as August neared its end , And London seemed a wilderness to me without a friend , With in my hand I sat and meditated long Where I should breathe the briny gale and ' scape the vul - gar throng ? The briny gale ! the perfect rest ! hi ! boy , a box of lights : The up - train starts in half - an - hour , and I shall dine at White ' s ! 1877 .	1889	bl54716
Ozone	Scent		Hobson of Welbngton , between 1871 and 1878 : ' Osteologia Osteologia Avium , ' a voluminous work on the skeletons of birds , illustrated from the specimens specimens in his own museum ; ' Eyton ' s Catalogue Catalogue of Species of Birds in his possession ' ( London , 1858 ) , ' A Synopsis of the Duck Tribe ' ( Welbngton , 1869 ) , ' Fishing Literature , ' Literature , ' ' Fox - hunting Literature , ' ' Observations Observations on Ozone , ' ' Notes on Scent , ' and catalogues catalogues of the drawings , engravings , and portraits at Eyton , and of the skeletons of birds in his museum .	1885	bl5309
bromine|ozone	stench|smell		30 which constitutes about a fifth proportion of atmospheric air , and is essential to the respiration of all animals ; by nitrogen ( from Greek nitron nitre , and gennao to produce ) , an elementary gas which constitutes nearly four - fifths of our atmosphere , and is one of the chief sources of nutrition to the human system ; by iodine ( from Greek ioeides , violet coloured ) a crystallised solid substance , found principally in sea - water , plants , and other marine productions , it becomes volatile at a slight increase of temperature , and diffuses itself in the form of a beautiful violet whence its name ; it is one of the most valuable therapeutic agents ; by bromine ( from bromos , a stench ) , a substance similar to iodine in its properties ; and by ozone ( from Greek ozo , to smell ) , an atmospheric substance which becomes liberated by electric action , and is most abundant during the snow - falls of winter and the stormy weather of summer time .	1879	bl5897
the sea - tangles|ozone	odours	pestilential	Providentiasty , the sea - tangles , hanging from the wharf in fringes of dull green , exhale chlorine , and the sea - breeze brings in ozone , to disinfect and disperse the pestilential odours .	1886	bl53154
ozone|of thousands of sweet shrubs and flowers	scent	perfumed	In cold or wet weather skaters are able to pursue their favourite amusement under cover , and on fine days they may skate in the open surrounded by all the pleasures of beautiful scenery and balmy air , laden with rich ozone from the English Channel , and perfumed perfumed by the scent of thousands of sweet shrubs and flowers .	1880	bl53328
ozone|ozone	smell	disagreeably disagreeably strong ozone|ozone	I was shown a piece of it , which looked like black leather , with a disagreeably disagreeably strong ozone smell .	1886	bl53405
