Smell_Source	Smell_Word	Quality	Sentence	Year	Book
Tobacco	whiffing		lip , and I warrant you , Or make as if you were whiffing Tobacco ; Or puichlikeme .	1613	bl19
of Tobaccoe	smell	scurvy	Madam , your Person is Natures Essence Bottle , and your mind the Mirror of Virtue and Discretion but now we are talking of Essences — hugh methinks here is a scurvy smell of Tobaccoe .	1680	bl145
Tobaccoe	smell		Oh , if I smell Tobaccoe I swound immediately ( Exit Tisick .	1680	bl145
Tobacco|Tobacco	stinking|stinking|stinking|stinking	stinking|stinking|stinking|stinking	That ' s my good lambe George , fie , this stinking Tobacco kils men , would there were none in England : nowl pray gentlemen gentlemen , what good does this stinking Tobacco ? doe you nothing nothing ; I warrant you make chimnies a your faces 1 O husband , husband , now , now there ' s Rase , there ' s Rase .	1635	bl177
Tobacco|vapoury|vapoury	vapoury|vapoury	stinking	l & gt ; 5 ] Theonehedoth smoke , and theother goodfoke , Say Tobacco ' s a stinking vapoury Another can dandle a Theife in a Candle , 26 .	1662	bl1176
cigars|tobacco	fragrant|fragrant|perfume	of a rare and most fragrant|fragrant kind	We talked for an hour , and he offered tobacco and cigars — and tobacco of a rare and most fragrant kind , in w * hich , I believe , he indulged largely ; he seemed saturated with the perfume .	1667	bl1185
of Tobacco	fmell	to a great degree	' you fmell of Tobacco to a great degree .	1689	bl1441
of Tobacco	Whiff		' TisaPhrafe a - la - mode , Sir , and is us ' d - in Converfation now , as a Whiff of Tobacco was formerly , in the midft of a Difcourfe , for a thinking while .	1697	bl1442
nothing|Tobacco	breath|perfume		Your breath is fuch , Man , that nothing nothing but Tobacco can perfume : and your Complexion nothing cou ' d mend , but the Small Pox .	1677	bl1471
Tobacco|of fweet wints	whiffing		Confefle , or I fhall marre your grace in whiffing Tobacco or fquirting of fweet wints downe your gullet ; — you have bceue offering to play the gelding we told yee of I fuppofe ; — fpeake truth , ( move the femicircle of your countenance to my left hand file ) out with the truth ; would you have hadaleap .	1638	bl1490
of Wine and Tobacco	smell		And for mv part , Id soon expect Patience In a cast Mistress Justice in a Kept one , or Devotion in a side - box Procurer , than substantial Worth in that Man that loses the Joys of Friendship and Drinking , for fear of disturbing the Fair Sex with the smell of Wine and Tobacco .	1697	bl1510
of Tobacco	fmell	fweet	This Fellow ftinks fo of Tobacco , that there is no way to nuke him fmell fweet , and look like a man , but to take him down to the Thames , and hive him drawn twice , or thrice , crofs the Water at the tail of a Sculler .	1671	bl1549
Tobacco|pleafure|pleafure	fmell|pleafure|pleafure|fmoking	odiqus	I lefs regard the rage of female railings — Some ladies have their waters , and their failings : Tho ' when gray prudence comes , and youth is paft , They ' ll learn to fmoke ( or I am deceiv ' d ) at laft J Peace to the beaux , and every fcented belle , Who cries , ' Tobacco has an odiqus fmell : ' To men of fenfe I fpeak , and own with pleafure , That fmoking fooths my fludies and my leifure y I 3 Xt SUBSCRIBERS .	1761	bl615
Tobacco	perfume	mild	Long as Tobacco ' s mild perfume Shall fcent each happy curate ' s room , Oft as in elbow - chair he fmokes , And quaffs his ale , and cracks his jokes , So long , O * Brown , fhall laft thy praife , Crown ' d with Tobacco - leaf for bays ; And whofoe ' er thy verfe fhall fee , Shall fill another Pipe to thee .	1762	bl649
of tobacco	whiff		At fome diltance from them I perceived another perfon in the fame garb , fitting in a penfive folitary manner , entertaining himfelf with a whiff of tobacco , from the flump of a pipe as black as jet .	1780	bl6175
of tobacco	fmell	Strong	With this view he repaired to the cabbin cabbin in his ordinary drefs , confiding of a check - Shirt and trawlers , a brown linen linen waidcoat , and a night - cap of the fame , ( neither of them very clean ) which , for his future misfortune , happened happened to fmell Strong of tobacco .	1780	bl6175
tobacco|4	fmells|effluvia|odoriferous|odoriferous	odoriferous|odoriferous	y pody , and my plood , 4 look you , that I have no fmells about 4 me , but liich as a christian ought to 4 have , except the effluvia ' & gt ; f tobacco , 4 which is a cephalic , odoriferous , aro - 4 aro - 4 malic herb , and he is a fonof ainoun - 4 ainoun - 4 tain - goat who fays otherwife .	1780	bl6175
Of mild Tobacco|Indian Bowl	breath|fragrant|fragrant	grateful|fragrant|fragrant	• Nor proctor thrice with vocal heel alarms Our joys fecure , nor deigns the iowly roof Of pot - houie fnug to vilit : wifer he The fplendid tavern haunts , or coffee - houfe Of James or Juggins , where the grateful breath Of mild Tobacco ne ' er diffus ' d its balm ; But the lewd fpendthrift , falfely deem ' d polite , While fleams around the fragrant Indian Bowl , Oft damns the vulgar fons of humbler Ale : In vain — the proiftor ' s voice alarms their joy ; Jult fate of wanton pride , and vain excels ! Nor leis by day delightful is thy draught , Hcart - ealing Ale , whofe forrow - foothing fweets Oft I repeat in vacant afternoon , .	1782	bl6183
of tobacco	whiff		373 Bull ? who though he cannot afford to keep his own peasantry peasantry from starving , can afford to keep up the pomp of the regular and orderly government of Austria , for which all Englishmen must entertain so socred a veneration veneration i ! ! Can we afford also to support all the aristocrats , rebels , rebels , Chouans , and the banditti of Brittany , who chose to uphold their voices and their arms against the general sentiment of their country ? Can we afford all this ? Can we afford in Ireland and on our coasts to maintain magazines of live stock ( all our salted provisions being already exhausted ) to supply the midnight murderers murderers of Brittany , because they choose to honour the cause of Gallic Royalty by their support ? and at the same time pretend that we cannot afford to save those from starving who are the very prop of our existence ? Can we also , while so exceedingly poor , afford to send splendid embassies embassies to China , that some great and mighty lord may be decorated with new distinctions for having seen his sublime sublime highness the Emperor take his whiff of tobacco , and then order his attendants to turn him out of she court again ? Can we , also , in despite of this poverty , afford to support , at an immense expence , a barren Corsican Corsican mountain , whose soil is sterility , and the product of whose loyalty , or seeds of loyalty , it seems , are anarchy , anarchy , and ambitious contention i Can we , 1 fay , afford to do all this , at the expence of so many millions a year , and yet pretend that we cannot afford , notwithstanding all this convicted , ( I was going to use a very hard word but I will only call it ) prodigality in every branch and department of administration , to pay our labourers wages competent to their subsistence & gt ; Can our rulers , while thus overwhelming us with additional burdens , and then insulting insulting us , by saying that our very defeats , disasters , and and disgraces , are reasons why we ought not to withdraw from a ridiculous crusade ! Can our rulers , in the midst ot all this , fay , that to increase the wages of the poor is to destroy our trade and commerce ? But under the present system I confess , it is impossible to ameliorate the condition condition of the lower orders .	1795	bl6216
of tobacco	whiff		But it all went off in a whiff of tobacco , which seared his magnanimous whiskers , and obliged him to turn his back , to hide his confusion ; confusion ; not having , like some persons who ssiall be nameless , lost entirely the faculty of blussiing .	1795	bl6216
of a Yahoo|with Rue|Lavender|Tobacco Leaves	Smell	very offensive	Yet the Smell of a Yahoo continuing very offensive , I always keep my Nose well stopped with Rue , Lavender , or Tobacco Leaves .	1746	bl6380
of tobacco	whiff		Ay , so you cou ' d , Skiff , and so you did , pretty roundly too ; but for the good you did by it , you might as well have puff ' d a whiff of tobacco in the wind ' s face .	1777	bl6458
of roast meat and tobacco	scent		ficiently animated to advance , lead them in exact order , with fife and drum , to that side whence the wind blows , till they come within the scent of roast meat and tobacco .	1796	bl6513
of tobacco	whiff		303 entertaining himself with a whiff of tobacco , from the stump of a pipe as black as jet .	1797	bl6637
of tobacco|u which|herb	smells|effluvia|odoriferous|odoriferous|aromatic|aromatic	such as a christian ought to have|odoriferous|odoriferous|aromatic|aromatic	257 & # 34 ; ' have no smells about me , but such as a christian ought to have , except the effluvia of tobacco , u which is a cephalic , odoriferous , aromatic herb , M and he is a son of a mountain - goat who saysother • saysother • wise .	1797	bl6637
of tobacco	smell	strong	a night - cap of the fame ( neither of them very clean ) which , for his further misfortune , happened to smell strong of tobacco .	1797	bl6637
